gas_ftir_scan24_replicate1,gas_ftir_scan24_replicate2,gas_ftir_scan24_replicate3,gas_ftir_scan24_replicate4,gas_ftir_scan24_replicate5,gas_ftir_scan24_replicate6,gas_ftir_scan24_replicate7,gas_ftir_scan24_replicate8,gas_ftir_scan24_replicate9
138.36,129.3,119.84,130.35,100.94,100.9,93.3,98.44,100.33
138.36,129.31,119.84,130.35,100.94,100.9,93.28,98.44,100.33
138.36,129.32,119.84,130.36,100.95,100.9,93.26,98.44,100.34
138.37,129.33,119.84,130.37,100.96,100.89,93.24,98.44,100.34
138.39,129.35,119.84,130.38,100.96,100.88,93.24,98.44,100.34
138.41,129.37,119.85,130.41,100.96,100.88,93.25,98.43,100.34
138.44,129.38,119.86,130.42,100.96,100.89,93.26,98.42,100.35
138.44,129.39,119.86,130.43,100.96,100.9,93.26,98.42,100.35
138.44,129.4,119.87,130.43,100.96,100.9,93.27,98.42,100.35
138.44,129.4,119.87,130.44,100.95,100.9,93.28,98.42,100.35
138.46,129.4,119.88,130.45,100.95,100.9,93.29,98.43,100.34
138.48,129.39,119.89,130.45,100.95,100.9,93.29,98.43,100.34
138.5,129.38,119.9,130.45,100.95,100.9,93.29,98.44,100.34
138.52,129.39,119.91,130.45,100.94,100.9,93.3,98.44,100.33
138.55,129.4,119.91,130.45,100.94,100.89,93.32,98.45,100.33
138.58,129.42,119.93,130.46,100.94,100.9,93.32,98.45,100.33
138.6,129.44,119.94,130.48,100.94,100.9,93.32,98.45,100.33
138.62,129.46,119.96,130.5,100.94,100.9,93.31,98.45,100.33
138.65,129.48,119.97,130.51,100.94,100.9,93.31,98.46,100.32
138.69,129.52,119.98,130.52,100.93,100.89,93.33,98.46,100.32
138.73,129.55,120.0,130.55,100.93,100.89,93.33,98.46,100.32
138.77,129.59,120.02,130.58,100.94,100.89,93.32,98.46,100.32
138.81,129.62,120.04,130.6,100.94,100.89,93.3,98.45,100.32
138.85,129.67,120.06,130.63,100.94,100.89,93.28,98.45,100.33
138.88,129.72,120.07,130.67,100.94,100.88,93.26,98.45,100.33
138.92,129.76,120.09,130.7,100.95,100.88,93.24,98.44,100.33
138.95,129.8,120.11,130.73,100.96,100.89,93.22,98.44,100.33
138.98,129.83,120.12,130.75,100.96,100.89,93.23,98.43,100.33
139.01,129.87,120.13,130.78,100.96,100.89,93.25,98.43,100.34
139.04,129.9,120.15,130.8,100.97,100.89,93.24,98.42,100.34
139.06,129.91,120.16,130.82,100.97,100.89,93.24,98.42,100.34
139.09,129.91,120.17,130.84,100.97,100.89,93.27,98.43,100.34
139.13,129.91,120.18,130.84,100.96,100.89,93.31,98.44,100.33
139.16,129.92,120.19,130.85,100.95,100.89,93.33,98.44,100.33
139.18,129.92,120.2,130.85,100.94,100.89,93.32,98.44,100.33
139.19,129.92,120.2,130.85,100.94,100.89,93.31,98.44,100.33
139.2,129.94,120.2,130.85,100.94,100.89,93.3,98.44,100.33
139.21,129.97,120.2,130.86,100.94,100.88,93.26,98.44,100.33
139.21,129.99,120.21,130.88,100.95,100.88,93.22,98.43,100.34
139.21,130.01,120.21,130.89,100.96,100.89,93.19,98.43,100.34
139.22,130.05,120.2,130.89,100.96,100.88,93.21,98.43,100.35
139.24,130.09,120.2,130.91,100.96,100.87,93.23,98.42,100.35
139.26,130.12,120.22,130.95,100.96,100.89,93.2,98.4,100.36
139.25,130.12,120.23,130.97,100.98,100.91,93.15,98.38,100.36
139.24,130.1,120.22,130.97,100.99,100.91,93.15,98.38,100.36
139.25,130.11,120.2,130.96,100.98,100.89,93.2,98.4,100.36
139.26,130.11,120.2,130.96,100.97,100.88,93.24,98.4,100.36
139.26,130.08,120.21,130.97,100.97,100.89,93.25,98.39,100.36
139.25,130.02,120.21,130.95,100.97,100.91,93.23,98.39,100.36
139.21,129.97,120.2,130.91,100.97,100.91,93.23,98.4,100.35
139.19,129.94,120.19,130.87,100.97,100.91,93.27,98.42,100.34
139.19,129.92,120.18,130.85,100.95,100.9,93.31,98.44,100.34
139.19,129.89,120.17,130.84,100.95,100.9,93.32,98.44,100.33
139.17,129.85,120.16,130.81,100.94,100.9,93.33,98.44,100.33
139.16,129.82,120.15,130.78,100.94,100.9,93.33,98.45,100.32
139.13,129.8,120.14,130.75,100.94,100.89,93.33,98.46,100.32
139.11,129.8,120.13,130.74,100.93,100.89,93.32,98.47,100.32
139.1,129.79,120.12,130.73,100.94,100.89,93.3,98.47,100.32
139.08,129.78,120.12,130.72,100.94,100.89,93.28,98.46,100.32
139.06,129.78,120.11,130.71,100.94,100.89,93.29,98.47,100.32
139.06,129.8,120.1,130.71,100.94,100.89,93.3,98.46,100.32
139.05,129.81,120.1,130.72,100.94,100.88,93.28,98.45,100.33
139.03,129.82,120.1,130.73,100.95,100.89,93.24,98.44,100.34
139.01,129.82,120.1,130.72,100.95,100.89,93.21,98.43,100.34
139.0,129.83,120.08,130.72,100.95,100.88,93.2,98.42,100.35
138.98,129.85,120.07,130.72,100.95,100.87,93.18,98.41,100.35
138.96,129.86,120.08,130.74,100.95,100.87,93.17,98.4,100.36
138.95,129.85,120.08,130.75,100.96,100.88,93.17,98.38,100.37
138.95,129.83,120.08,130.74,100.96,100.89,93.18,98.37,100.37
138.93,129.82,120.07,130.73,100.95,100.89,93.19,98.37,100.37
138.91,129.81,120.07,130.72,100.95,100.89,93.2,98.38,100.37
138.89,129.79,120.07,130.72,100.95,100.9,93.22,98.39,100.36
138.89,129.75,120.07,130.71,100.95,100.9,93.24,98.4,100.36
138.89,129.72,120.06,130.69,100.95,100.9,93.28,98.41,100.35
138.9,129.68,120.06,130.67,100.94,100.9,93.3,98.42,100.34
138.89,129.65,120.06,130.64,100.94,100.9,93.32,98.43,100.33
138.89,129.62,120.05,130.62,100.94,100.9,93.32,98.44,100.33
138.88,129.61,120.05,130.6,100.93,100.89,93.33,98.45,100.32
138.88,129.61,120.04,130.59,100.93,100.89,93.34,98.46,100.32
138.88,129.61,120.04,130.59,100.93,100.88,93.34,98.46,100.32
138.87,129.61,120.04,130.58,100.93,100.88,93.34,98.46,100.32
