gas_ftir_scan30_replicate1,gas_ftir_scan30_replicate2,gas_ftir_scan30_replicate3,gas_ftir_scan30_replicate4,gas_ftir_scan30_replicate5,gas_ftir_scan30_replicate6,gas_ftir_scan30_replicate7,gas_ftir_scan30_replicate8,gas_ftir_scan30_replicate9
92.79,106.93,99.84,132.74,128.87,113.46,107.29,128.05,116.64
92.79,106.96,99.85,132.73,128.86,113.46,107.3,128.05,116.65
92.79,106.98,99.85,132.72,128.83,113.46,107.3,128.03,116.65
92.8,106.97,99.85,132.69,128.82,113.45,107.28,128.01,116.62
92.8,106.95,99.85,132.68,128.83,113.44,107.28,128.01,116.61
92.79,106.96,99.85,132.67,128.84,113.44,107.28,128.01,116.62
92.79,106.95,99.86,132.68,128.83,113.43,107.28,127.99,116.64
92.79,106.93,99.86,132.69,128.82,113.43,107.27,127.98,116.64
92.79,106.92,99.84,132.7,128.81,113.42,107.27,127.97,116.63
92.78,106.91,99.82,132.7,128.79,113.41,107.27,127.96,116.63
92.77,106.9,99.79,132.69,128.75,113.39,107.26,127.94,116.62
92.77,106.87,99.77,132.69,128.71,113.37,107.25,127.91,116.61
92.78,106.85,99.76,132.68,128.69,113.35,107.23,127.88,116.59
92.78,106.84,99.75,132.68,128.68,113.34,107.22,127.88,116.58
92.78,106.84,99.73,132.68,128.67,113.33,107.22,127.87,116.58
92.77,106.84,99.73,132.67,128.66,113.32,107.22,127.86,116.58
92.78,106.83,99.72,132.66,128.65,113.31,107.21,127.84,116.57
92.78,106.81,99.72,132.66,128.65,113.3,107.21,127.83,116.57
92.78,106.81,99.71,132.67,128.65,113.3,107.21,127.83,116.57
92.78,106.81,99.71,132.68,128.63,113.29,107.21,127.83,116.58
92.77,106.81,99.7,132.68,128.62,113.29,107.21,127.82,116.58
92.78,106.8,99.69,132.69,128.61,113.28,107.21,127.81,116.58
92.78,106.79,99.69,132.7,128.61,113.27,107.21,127.81,116.57
92.78,106.79,99.68,132.7,128.61,113.27,107.21,127.82,116.57
92.78,106.8,99.69,132.7,128.61,113.27,107.21,127.82,116.57
92.79,106.81,99.7,132.7,128.63,113.28,107.22,127.82,116.57
92.79,106.82,99.73,132.69,128.64,113.29,107.22,127.83,116.56
92.8,106.83,99.75,132.69,128.66,113.3,107.22,127.85,116.55
92.8,106.85,99.76,132.69,128.68,113.32,107.22,127.86,116.55
92.79,106.85,99.76,132.7,128.68,113.32,107.22,127.87,116.56
92.79,106.85,99.77,132.72,128.69,113.33,107.22,127.88,116.56
92.79,106.85,99.77,132.73,128.7,113.33,107.22,127.88,116.57
92.78,106.84,99.77,132.75,128.71,113.33,107.22,127.89,116.58
92.78,106.85,99.76,132.76,128.72,113.33,107.23,127.9,116.59
92.77,106.85,99.74,132.78,128.72,113.32,107.23,127.91,116.61
92.77,106.85,99.73,132.81,128.72,113.32,107.23,127.91,116.62
92.76,106.84,99.72,132.83,128.73,113.32,107.23,127.92,116.63
92.76,106.83,99.71,132.85,128.74,113.32,107.23,127.93,116.65
92.75,106.82,99.69,132.88,128.75,113.32,107.24,127.95,116.66
92.74,106.82,99.68,132.91,128.78,113.33,107.25,127.97,116.68
92.73,106.82,99.67,132.94,128.8,113.34,107.25,128.0,116.7
92.73,106.82,99.67,132.97,128.82,113.35,107.26,128.02,116.71
92.73,106.81,99.67,133.0,128.85,113.37,107.26,128.04,116.72
92.72,106.82,99.66,133.04,128.89,113.38,107.26,128.08,116.73
92.72,106.83,99.65,133.07,128.92,113.4,107.28,128.12,116.75
92.71,106.84,99.65,133.1,128.96,113.41,107.29,128.16,116.77
92.71,106.85,99.66,133.13,129.01,113.43,107.29,128.2,116.78
92.71,106.86,99.67,133.15,129.06,113.45,107.31,128.24,116.8
92.7,106.88,99.67,133.16,129.1,113.47,107.32,128.28,116.82
92.69,106.89,99.68,133.18,129.14,113.5,107.33,128.32,116.85
92.69,106.9,99.7,133.2,129.18,113.52,107.34,128.35,116.87
92.68,106.91,99.71,133.23,129.22,113.55,107.34,128.39,116.88
92.68,106.92,99.72,133.27,129.25,113.58,107.35,128.42,116.89
92.67,106.92,99.72,133.31,129.28,113.59,107.36,128.45,116.9
92.66,106.9,99.7,133.33,129.29,113.59,107.35,128.46,116.91
92.66,106.88,99.68,133.36,129.3,113.59,107.35,128.47,116.92
92.65,106.88,99.67,133.39,129.31,113.59,107.34,128.49,116.93
92.64,106.88,99.65,133.42,129.31,113.59,107.35,128.5,116.94
92.64,106.89,99.64,133.43,129.32,113.59,107.35,128.51,116.95
92.64,106.88,99.63,133.44,129.33,113.59,107.35,128.52,116.94
92.64,106.88,99.63,133.44,129.36,113.59,107.35,128.53,116.94
92.64,106.9,99.64,133.43,129.39,113.6,107.36,128.56,116.95
92.64,106.92,99.66,133.42,129.41,113.62,107.37,128.57,116.96
92.65,106.92,99.7,133.41,129.43,113.65,107.37,128.58,116.95
92.66,106.92,99.72,133.4,129.47,113.66,107.36,128.61,116.93
92.65,106.95,99.73,133.4,129.5,113.67,107.37,128.64,116.94
92.64,106.98,99.74,133.39,129.51,113.68,107.39,128.65,116.95
92.64,106.98,99.76,133.38,129.51,113.69,107.38,128.63,116.95
92.66,106.96,99.78,133.37,129.51,113.7,107.37,128.62,116.93
92.66,106.95,99.78,133.38,129.51,113.7,107.36,128.62,116.92
92.65,106.96,99.76,133.39,129.5,113.69,107.36,128.63,116.93
92.63,106.95,99.73,133.41,129.46,113.66,107.36,128.6,116.95
92.63,106.93,99.7,133.41,129.41,113.64,107.36,128.56,116.95
92.64,106.89,99.68,133.41,129.37,113.62,107.34,128.52,116.93
92.64,106.87,99.67,133.41,129.35,113.61,107.33,128.5,116.92
92.64,106.87,99.65,133.41,129.32,113.59,107.33,128.49,116.92
92.63,106.86,99.63,133.42,129.28,113.57,107.33,128.47,116.92
92.64,106.85,99.62,133.41,129.25,113.55,107.32,128.44,116.92
92.64,106.84,99.6,133.4,129.22,113.53,107.32,128.41,116.91
92.64,106.84,99.6,133.38,129.21,113.52,107.32,128.4,116.9
92.65,106.84,99.6,133.36,129.19,113.51,107.32,128.39,116.9
92.65,106.85,99.62,133.34,129.18,113.51,107.32,128.37,116.89
92.66,106.85,99.63,133.32,129.17,113.52,107.32,128.36,116.88
92.66,106.85,99.65,133.3,129.17,113.51,107.31,128.35,116.86
92.67,106.86,99.66,133.27,129.18,113.51,107.32,128.36,116.85
92.67,106.89,99.67,133.24,129.18,113.52,107.33,128.36,116.84
92.68,106.91,99.7,133.21,129.18,113.52,107.33,128.35,116.83
92.7,106.93,99.74,133.17,129.18,113.54,107.33,128.34,116.81
92.72,106.95,99.78,133.13,129.19,113.55,107.34,128.33,116.8
92.72,106.97,99.81,133.09,129.19,113.56,107.34,128.34,116.79
92.72,106.99,99.82,133.06,129.18,113.57,107.34,128.34,116.79
92.72,106.99,99.83,133.04,129.16,113.57,107.33,128.33,116.79
92.72,106.97,99.83,133.03,129.15,113.56,107.33,128.31,116.79
92.71,106.95,99.82,133.03,129.14,113.56,107.33,128.29,116.79
92.71,106.93,99.8,133.03,129.11,113.55,107.33,128.28,116.79
92.7,106.92,99.77,133.03,129.08,113.53,107.32,128.26,116.8
92.69,106.9,99.74,133.05,129.04,113.51,107.32,128.23,116.8
92.69,106.88,99.71,133.06,129.0,113.49,107.31,128.21,116.81
92.69,106.86,99.68,133.08,128.97,113.47,107.31,128.19,116.81
92.68,106.84,99.66,133.09,128.94,113.45,107.3,128.17,116.81
92.68,106.83,99.65,133.1,128.93,113.43,107.3,128.16,116.81
92.69,106.82,99.64,133.1,128.92,113.43,107.29,128.15,116.8
92.69,106.82,99.64,133.1,128.92,113.43,107.29,128.15,116.8
92.69,106.83,99.64,133.1,128.93,113.43,107.29,128.16,116.8
